date,Twitter Sentiment score
06/08/19,0
05/08/19,0
04/08/19,0
03/08/19,0
02/08/19,0.068181818
01/08/19,0.318181818
31/07/19,0.05
30/07/19,0.5
29/07/19,0
28/07/19,0
27/07/19,0
26/07/19,0.0625
25/07/19,0
24/07/19,0.136363636
23/07/19,0
22/07/19,0
21/07/19,0
20/07/19,0
19/07/19,0
18/07/19,0.1
17/07/19,0
16/07/19,-0.8
15/07/19,0.136363636
14/07/19,0
13/07/19,0.318181818
12/07/19,0
11/07/19,0.35
10/07/19,0
09/07/19,0.375
08/07/19,0
07/07/19,-0.025
06/07/19,0
05/07/19,-0.033333333
04/07/19,0
03/07/19,0
02/07/19,0.243181818
01/07/19,0
30/06/19,0.218181818
29/06/19,0.35
28/06/19,0
27/06/19,0.6
26/06/19,0
25/06/19,0
24/06/19,0.35
23/06/19,0
22/06/19,0
21/06/19,0
20/06/19,0.108333333
19/06/19,0
18/06/19,0.136363636
17/06/19,0.166666667
16/06/19,0.5
15/06/19,0
14/06/19,0.136363636
13/06/19,0
12/06/19,0.6
11/06/19,0
10/06/19,0
09/06/19,0
08/06/19,0.4
07/06/19,0
06/06/19,0
05/06/19,0
04/06/19,0
03/06/19,0.7
02/06/19,0
01/06/19,0.25
31/05/19,0
30/05/19,-0.4
29/05/19,0.55
28/05/19,0
27/05/19,0
26/05/19,0.75
25/05/19,0
24/05/19,0.16
23/05/19,0
22/05/19,0
21/05/19,0
20/05/19,0.4
19/05/19,0
18/05/19,0
17/05/19,0
16/05/19,-0.5
15/05/19,0.25
14/05/19,0
13/05/19,0
12/05/19,0.4
11/05/19,0
10/05/19,-0.155555556
09/05/19,0.318181818
08/05/19,0.033333333
07/05/19,0.136363636
06/05/19,0.375
05/05/19,0
04/05/19,0.2
03/05/19,0.1
02/05/19,0
01/05/19,0
30/04/19,0
29/04/19,0.25
28/04/19,0
27/04/19,0.125
26/04/19,0.0625
25/04/19,0
24/04/19,0.7
23/04/19,0.671666667
22/04/19,0
21/04/19,0.214285714
20/04/19,0
19/04/19,0.136363636
18/04/19,0
17/04/19,0.0625
16/04/19,0.4
15/04/19,0
14/04/19,0
13/04/19,0.4
12/04/19,0
11/04/19,0
10/04/19,0
09/04/19,0.4
08/04/19,0
07/04/19,-0.025
06/04/19,0.25
05/04/19,0.4
04/04/19,0.0625
03/04/19,0
02/04/19,0
01/04/19,0.101010101
31/03/19,0.1875
30/03/19,0
29/03/19,0.136363636
28/03/19,0
27/03/19,0.1
26/03/19,0.4
25/03/19,0.1
24/03/19,-0.8
23/03/19,-0.071428571
22/03/19,0.375
21/03/19,0.108333333
20/03/19,0
19/03/19,-0.071428571
18/03/19,0
17/03/19,0.375
16/03/19,0
15/03/19,0.4
14/03/19,-0.035714286
13/03/19,0
12/03/19,0
11/03/19,0.466666667
10/03/19,0
09/03/19,0
08/03/19,0
07/03/19,0
06/03/19,0
05/03/19,0
04/03/19,0.116666667
03/03/19,0
02/03/19,0
01/03/19,-0.1
28/02/19,0.268181818
27/02/19,-0.155555556
26/02/19,0.285714286
25/02/19,0.35
24/02/19,0.0625
23/02/19,0
22/02/19,0.043181818
21/02/19,0
20/02/19,0
19/02/19,0.083333333
18/02/19,0
17/02/19,0
16/02/19,0.183333333
15/02/19,0
14/02/19,0.6
13/02/19,0.4
12/02/19,0.75
11/02/19,0
10/02/19,0.1
09/02/19,0.136363636
08/02/19,0
07/02/19,0
06/02/19,0.7
05/02/19,0.25
04/02/19,0
03/02/19,0
02/02/19,0
01/02/19,0.164285714
31/01/19,0.75
30/01/19,0.0625
29/01/19,0.4
28/01/19,0.4
27/01/19,0.16
26/01/19,0
25/01/19,0
24/01/19,0
23/01/19,0.4
22/01/19,0.5
21/01/19,0.4
20/01/19,0.25
19/01/19,0
18/01/19,0.75
17/01/19,0.5
16/01/19,-0.1
15/01/19,0.136363636
14/01/19,-0.071428571
13/01/19,0
12/01/19,0.053571429
11/01/19,0
10/01/19,0
09/01/19,0
08/01/19,0
07/01/19,-0.291666667
06/01/19,0
05/01/19,0
04/01/19,-0.107142857
03/01/19,0.108333333
02/01/19,0
01/01/19,0
31/12/18,0.75
30/12/18,0
29/12/18,-0.0625
28/12/18,0
27/12/18,-0.35
26/12/18,0.032467532
25/12/18,0.0625
24/12/18,0.1875
23/12/18,0
22/12/18,0.466666667
21/12/18,0
20/12/18,0
19/12/18,-0.7
18/12/18,0.1
17/12/18,0.6
16/12/18,0.2
15/12/18,0.6
14/12/18,0
13/12/18,-0.155555556
12/12/18,0.033333333
11/12/18,0.55
10/12/18,0
09/12/18,0
08/12/18,0.0625
07/12/18,-0.071428571
06/12/18,0.6
05/12/18,0.3
04/12/18,-0.4
03/12/18,0.25
02/12/18,0
01/12/18,0
30/11/18,-0.121212121
29/11/18,0
28/11/18,0
27/11/18,0
26/11/18,0.4
25/11/18,0.136363636
24/11/18,0.4
23/11/18,0
22/11/18,0
21/11/18,0.233333333
20/11/18,0.083333333
19/11/18,0
18/11/18,0.4
17/11/18,0
16/11/18,0
15/11/18,0
14/11/18,0
13/11/18,0
12/11/18,0
11/11/18,0.136363636
10/11/18,-0.125
09/11/18,0
08/11/18,0.8
07/11/18,0.3
06/11/18,0
05/11/18,0
04/11/18,0.5
03/11/18,0
02/11/18,0
01/11/18,0.75
31/10/18,0
30/10/18,0.05
29/10/18,0
28/10/18,0.108333333
27/10/18,0.2
26/10/18,0.108333333
25/10/18,0
24/10/18,0.6
23/10/18,0
22/10/18,0
21/10/18,0
20/10/18,0.218181818
19/10/18,0
18/10/18,0
17/10/18,0.4
16/10/18,0.16
15/10/18,-0.030555556
14/10/18,0.136363636
13/10/18,-0.033333333
12/10/18,0.10625
11/10/18,0
10/10/18,0
09/10/18,0
08/10/18,0.112121212
07/10/18,0.136363636
06/10/18,0
05/10/18,0
04/10/18,0.136363636
03/10/18,0.4
02/10/18,0
01/10/18,0.2
30/09/18,0.4
29/09/18,0.4
28/09/18,0.4
27/09/18,0.4
26/09/18,0.5
25/09/18,0
24/09/18,0
23/09/18,0
22/09/18,-0.05
21/09/18,0
20/09/18,-0.155555556
19/09/18,0
18/09/18,-0.0625
17/09/18,0.7
16/09/18,0.068181818
15/09/18,0.268181818
14/09/18,0
13/09/18,0.108333333
12/09/18,0.2
11/09/18,0
10/09/18,0.244318182
09/09/18,-0.030555556
08/09/18,0
07/09/18,0
06/09/18,0
05/09/18,0
04/09/18,0
03/09/18,0.189285714
02/09/18,0.35
01/09/18,0.261904762
31/08/18,0.468181818
30/08/18,0.136363636
29/08/18,0
28/08/18,0
27/08/18,0.4
26/08/18,0.4
25/08/18,0.4
24/08/18,0.4
23/08/18,0.43
22/08/18,0.4
21/08/18,0
20/08/18,0.4
19/08/18,0.333333333
18/08/18,0.077777778
17/08/18,0
16/08/18,0
15/08/18,0.91
14/08/18,0.5
13/08/18,0.25
12/08/18,0.4
11/08/18,0.108333333
10/08/18,0.4
09/08/18,0
08/08/18,0
07/08/18,0.0625
06/08/18,-0.071428571
05/08/18,0.4
04/08/18,0.25
03/08/18,0
02/08/18,0.1
01/08/18,0
31/07/18,0.068181818
30/07/18,0.285714286
29/07/18,0
28/07/18,-0.076923077
27/07/18,0
26/07/18,0.4125
25/07/18,0
24/07/18,0.136363636
23/07/18,0.05
22/07/18,0
21/07/18,0.033333333
20/07/18,0
19/07/18,0
18/07/18,0
17/07/18,0.75
16/07/18,0
15/07/18,0
14/07/18,0
13/07/18,0
12/07/18,-0.138888889
11/07/18,0.75
10/07/18,0
09/07/18,-0.25
08/07/18,-0.15
07/07/18,0
06/07/18,0
05/07/18,-0.033333333
04/07/18,0.066666667
03/07/18,0.1875
02/07/18,0
01/07/18,-0.25
30/06/18,0.1
29/06/18,0
28/06/18,0
27/06/18,0.25
26/06/18,-0.020833333
25/06/18,0
24/06/18,0.136363636
23/06/18,0
22/06/18,0
21/06/18,0
20/06/18,0
19/06/18,0
18/06/18,0.285714286
17/06/18,-0.033333333
16/06/18,0.5
15/06/18,0
14/06/18,0
13/06/18,0
12/06/18,0.0625
11/06/18,0
10/06/18,0.168181818
09/06/18,0.75
08/06/18,-0.071428571
07/06/18,0.136363636
06/06/18,0
05/06/18,0.068181818
04/06/18,0
03/06/18,0
02/06/18,0.5
01/06/18,0.416666667
31/05/18,0.3
30/05/18,0.166666667
29/05/18,0.05
28/05/18,-0.2
27/05/18,0
26/05/18,0.3
25/05/18,0
24/05/18,0.75
23/05/18,0.25
22/05/18,0.5
21/05/18,0
20/05/18,-0.033333333
19/05/18,0
18/05/18,0
17/05/18,0
16/05/18,0.136363636
15/05/18,-0.583333333
14/05/18,0.75
13/05/18,0
12/05/18,0.8
11/05/18,0.05
10/05/18,0
09/05/18,0.05
08/05/18,0
07/05/18,-0.033333333
06/05/18,0
05/05/18,-0.025
04/05/18,0.12
03/05/18,0.428571429
02/05/18,0
01/05/18,0
30/04/18,0.75
29/04/18,0.2
28/04/18,0
27/04/18,0.0625
26/04/18,0.268181818
