t,addresses/count,addresses/sending_count,addresses/receiving_count,addresses/active_count,addresses/new_non_zero_count,transactions/count,transactions/rate,transactions/transfers_volume_sum,transactions/transfers_volume_mean,transactions/transfers_volume_median,fees/volume_sum,fees/volume_mean,fees/volume_median,blockchain/utxo_created_count,blockchain/utxo_spent_count,blockchain/utxo_created_value_sum,blockchain/utxo_spent_value_sum,blockchain/utxo_created_value_mean,blockchain/utxo_spent_value_mean,blockchain/utxo_created_value_median,blockchain/utxo_spent_value_median
2018-01-01,354079681.0,640407.0,593257.0,966701.0,376395.0,241601.0,2.79630787037037,1680825.41639092,6.95703004702363,0.15561206,469.41303646,0.0019429267116440002,0.0010815,703918.0,846239.0,1683244.82942738,1681294.82942738,2.39125129550232,1.98678485561098,0.0177654,0.01765547
2018-01-02,354644463.0,689876.0,850776.0,1142465.0,564782.0,340809.0,3.944548611111111,2534151.93068333,7.43569545018863,0.28157856000000003,649.16497626,0.0019047765060780002,0.0009030700000000001,997941.0,877875.0,2536938.59565959,2534801.09565959,2.54217292972189,2.88742827356924,0.02727096,0.03535204
2018-01-03,355294816.0,632572.0,937500.0,1132590.0,650353.0,395806.0,4.581087962962963,2814172.4269042,7.10997919916392,0.32255611,749.68547259,0.00189407303727,0.00103344,1099960.0,771447.0,2816884.61237679,2814922.11237679,2.5608973166086,3.64888594080577,0.0335,0.07308695
2018-01-04,356000318.0,663090.0,1054681.0,1253391.0,705502.0,424840.0,4.917129629629629,2734947.20024407,6.4375934475193,0.33816395,778.26109477,0.0018318922294740002,0.0010427400000000001,1246924.0,805066.0,2737825.46133884,2735725.46133884,2.1956634577078,3.39813811704736,0.03449822,0.07780401
2018-01-05,356593075.0,556831.0,888233.0,1068521.0,592757.0,342564.0,3.964861111111111,2918741.87840486,8.52028198644585,0.29766542,701.35602085,0.002047372230736,0.0010892,1043683.0,685154.0,2921230.73442496,2919443.23442571,2.79896360717282,4.26100297805415,0.034,0.08270000000000001
2018-01-06,357182785.0,676732.0,889075.0,1171151.0,589710.0,358679.0,4.151377314814815,2976820.60778882,8.2994003211473,0.17653823,694.47790564,0.0019362101088710002,0.00104361,1068521.0,845782.0,2979615.08569446,2977515.08569446,2.78854143783272,3.52042853323251,0.022,0.043072
2018-01-07,357803885.0,645977.0,909981.0,1127763.0,621100.0,368025.0,4.259548611111111,2754468.31061065,7.4844597802068105,0.32372531,686.11400249,0.0018643135724200001,0.00114465,1060156.0,790810.0,2757179.42461314,2755154.42461314,2.60072991579838,3.48396507961855,0.02862319,0.06497065
2018-01-08,358382276.0,665084.0,895969.0,1158246.0,578391.0,345506.0,3.9989120370370372,2518157.36527806,7.28831732380356,0.24159898000000002,694.5264055,0.002010171764021,0.0011427100000000001,1057775.0,826015.0,2520926.89168356,2518851.89168356,2.3832354628192,3.0494021194331298,0.02672621,0.05617794
2018-01-09,358999482.0,660822.0,919127.0,1150316.0,617206.0,360101.0,4.167835648148148,2243209.31086665,6.22938928485792,0.27463136,752.4182028,0.0020894643525010003,0.00119852,1083299.0,810218.0,2246011.72906945,2243961.72906945,2.07330730395713,2.76957772978315,0.03153159,0.06523829
2018-01-10,359583062.0,665155.0,876967.0,1125366.0,583580.0,347227.0,4.018831018518519,2160184.43505111,6.22124556860829,0.2802576,720.32570087,0.0020745094732550003,0.00114801,1036841.0,835414.0,2162979.76075198,2160904.76075198,2.08612483568069,2.58662742155623,0.03171187,0.05991827
2018-01-11,360134883.0,829956.0,821983.0,1223960.0,551821.0,337766.0,3.9093287037037032,1855340.54012087,5.49297602517982,0.23457244,697.44083354,0.002064863939946,0.00114919,972454.0,1030433.0,1858450.48095441,1856037.98095441,1.91109346144333,1.80122140979026,0.02847221,0.02964451
2018-01-12,360625369.0,791698.0,746511.0,1152553.0,490486.0,299913.0,3.471215277777777,1776673.08234996,5.92396155668453,0.23283882,617.63579417,0.0020593832016950002,0.00114969,884856.0,964624.0,1779515.71814413,1777290.71814413,2.01107945037848,1.84246993454872,0.02589139,0.03151247
2018-01-13,361058371.0,625251.0,652022.0,943063.0,433002.0,265586.0,3.073912037037037,1362706.72892623,5.13094338152697,0.26243326,528.46632102,0.0019898124186510002,0.00115181,771871.0,751342.0,1365097.69524725,1363235.19524725,1.76855678636359,1.81440035995226,0.02657527,0.03724437
2018-01-14,361438881.0,654489.0,592045.0,967573.0,380510.0,234890.0,2.718634259259259,1266743.9748048,5.39292424030306,0.19979779,491.32446483,0.002091721507216,0.0010371900000000001,691912.0,799334.0,1269172.79926963,1267235.29926963,1.8342980021586999,1.58536393956672,0.021502,0.02579899
2018-01-15,361887752.0,611603.0,670814.0,952991.0,448871.0,273473.0,3.165196759259259,1495425.05052834,5.46827310384704,0.20710679999999998,510.11761779,0.0018653308289660001,0.00094308,798088.0,748467.0,1497810.16814613,1495935.16814613,1.87674813823305,1.99866549646963,0.027,0.03316725
2018-01-16,362364774.0,635637.0,737370.0,999056.0,477022.0,303566.0,3.5134953703703697,2886692.70665234,9.50927543483906,0.22404916,606.38246009,0.001997530883201,0.00103338,887578.0,781091.0,2889286.58911243,2887299.08911243,3.25524808987202,3.69649514475576,0.033379,0.04959221
2018-01-17,362866320.0,714561.0,768362.0,1090512.0,501546.0,315604.0,3.652824074074074,2466763.59756332,7.81600866137097,0.23543302,675.09668652,0.002139062516698,0.00114735,915850.0,880459.0,2469526.19424984,2467438.69424984,2.69643085030282,2.80244587680954,0.03523111,0.0414494
2018-01-18,363352712.0,696226.0,744165.0,1053517.0,486392.0,309322.0,3.580115740740741,2153904.80300323,6.96330944130458,0.23053005000000001,656.89753535,0.0021236689771500002,0.00113954,903505.0,892430.0,2156724.20053858,2154561.70053858,2.38706393494068,2.41426408854318,0.02862307,0.03232528
2018-01-19,363731907.0,726641.0,578376.0,1027739.0,379195.0,243454.0,2.817754629629629,1950945.51915985,8.01361045273369,0.185084,491.48999429,0.0020188207804750003,0.00102954,700505.0,912118.0,1953499.50915414,1951437.00915414,2.78870173539678,2.13945674699341,0.02381731,0.0202191
2018-01-20,364105467.0,671555.0,559719.0,973522.0,373560.0,240433.0,2.782789351851852,1457723.2963849,6.06290857072405,0.13353254,429.4031975,0.001785957824009,0.00097336,685898.0,969672.0,1460377.6995824,1458152.6995824,2.12914704457863,1.5037586932306999,0.01628078,0.01338398
2018-01-21,364428633.0,707143.0,522830.0,985139.0,323166.0,215435.0,2.4934606481481483,1105844.20877194,5.13307591046914,0.09899291,343.36269629,0.001593811109104,0.00084701,622701.0,1006646.0,1108525.07146823,1106187.57146823,1.7801883592097099,1.09888438583994,0.01472643,0.01054935
2018-01-22,364798048.0,665397.0,574395.0,944978.0,369415.0,245395.0,2.8402199074074073,1523129.88326562,6.20684970462168,0.14154768,314.61253947,0.001282065810102,0.00063534,696269.0,902490.0,1525531.99580509,1523444.49580509,2.1910095032309,1.68804584627541,0.02,0.01689709
2018-01-23,365149760.0,619145.0,547547.0,900239.0,351712.0,271759.0,3.145358796296296,1537016.00165395,5.65580533360052,0.08228741,285.95800518,0.00105224851865,0.00047612,726805.0,923280.0,1539514.45965913,1537301.95965913,2.118194645963,1.66504414658514,0.01828,0.01
2018-01-24,365530249.0,651683.0,576185.0,944565.0,380489.0,250247.0,2.8963773148148153,1500280.2157716,5.99519760784977,0.142594,283.49809897,0.00113287311724,0.0005273,696042.0,903128.0,1502763.71387057,1500563.71387057,2.15901298178925,1.66151831619723,0.02,0.012087899999999999
2018-01-25,365882457.0,563518.0,539557.0,841497.0,352208.0,236422.0,2.736365740740741,1355294.46217183,5.73252261706532,0.1239338,220.85446644,0.0009341536170060001,0.00049958,654213.0,829767.0,1357490.31663827,1355515.31663827,2.07499746510428,1.63360957550526,0.018411630000000002,0.014036120000000001
2018-01-26,366219352.0,547025.0,514599.0,807944.0,336895.0,220304.0,2.5498148148148143,1700030.75667391,7.71674938573025,0.11787415,209.13221596,0.0009492892365090001,0.00050016,618768.0,771068.0,1702177.38888987,1700239.88888987,2.75091373324073,2.20504532530188,0.018624270000000002,0.00840479
2018-01-27,366605451.0,539284.0,541679.0,870574.0,386099.0,193421.0,2.238668981481481,1361170.31328258,7.03734503121477,0.09559915000000001,168.25469362,0.0008698884486170001,0.00045282,631248.0,784576.0,1363301.0679762,1361338.5679762,2.15969170274794,1.73512644788549,0.009000000000000001,0.00919225
2018-01-28,366916089.0,505386.0,492712.0,768035.0,310638.0,213288.0,2.468611111111111,3126775.75146359,14.6598765587541,0.07932252000000001,155.34485572,0.0007283337821160001,0.00043009,606038.0,747697.0,3128906.09631931,3126931.09631931,5.1628876346356,4.1820832453779,0.01314125,0.00779979
2018-01-29,367258231.0,496910.0,532605.0,778138.0,342142.0,232028.0,2.685509259259259,1939053.10157389,8.35697890588156,0.08804418,145.75112922,0.000628161813315,0.00042774,642319.0,693715.0,1941048.85270311,1939198.85270311,3.02193902516209,2.79538261779421,0.016249780000000002,0.01140004
2018-01-30,367611051.0,577088.0,531420.0,838805.0,352820.0,236442.0,2.736597222222222,2357423.4652164,9.97040908644152,0.11859842,160.30090386,0.0006779713581340001,0.00042814000000000003,641179.0,788058.0,2359671.26612026,2357583.76612026,3.6802067224912998,2.99163737455905,0.02063742,0.01305
2018-01-31,367924550.0,426811.0,481077.0,676270.0,313499.0,204159.0,2.362951388888889,1784083.78015229,8.73869768245489,0.17246267,162.20623626,0.0007945093591750001,0.00037289999999999996,574211.0,565434.0,1785708.48638855,1784245.98638855,3.10984722756713,3.15553360142573,0.02475437,0.025400000000000002
2018-02-01,368309563.0,538308.0,591534.0,842398.0,385013.0,257504.0,2.98037037037037,2188399.24761578,8.49850583919388,0.14238611,214.02754492,0.000831162020473,0.0003898,710552.0,788767.0,2190613.2751607,2188613.2751607,3.08297390642866,2.77472723270713,0.02403518,0.02006349
2018-02-02,368660032.0,592257.0,551200.0,854253.0,350469.0,235750.0,2.728587962962963,1458422.01701264,6.18630760132621,0.2007888,274.36258243,0.001163786139681,0.00044823,659720.0,829256.0,1460796.37959507,1458696.37959507,2.21426723397054,1.75904229766812,0.03136735,0.021873240000000002
